File_Size_Bytes,Attributes,CPU_State,Memory_State,Network,Avail_CPU_%,Avail_Memory_%,Full_Execution_Time_s,Partial_RP1_Time_s,Transmission_Time_s,Partial_RP2_Time_s,Partial_Total_Time_s,Offload_Decision
1,30,Idle,Critical,WLAN,77.49191908714643,15.402653829108264,0.31142616271972656,0.09900021553039551,0.050007800000000005,0.0069355697858638895,0.15594358531625938,0
1,30,Medium,Idle,LAN,46.86457437751804,54.8848736264138,0.3134286403656006,0.09443855285644531,0.0100039,0.013242437154012136,0.11768489001045744,0
1,30,Medium,Idle,WLAN,24.820082200813847,77.33061019896637,0.31061720848083496,0.1003410816192627,0.050007600000000006,0.013565062638345327,0.16391374425760805,0
1,30,Medium,Medium,LAN,39.198774656215306,22.278931203734277,0.31284117698669434,0.09351444244384766,0.0100039,0.016702859224462914,0.12022120166831057,0
1,30,Medium,Medium,WLAN,39.38810503594525,45.27273982467028,0.3096461296081543,0.09316039085388184,0.050007800000000005,0.01306251408321478,0.15623070493709662,0
1,30,Medium,Critical,LAN,42.42814616022139,8.367113243138231,0.3200259208679199,0.09442830085754395,0.0100039,0.017971698206793507,0.12240389906433745,0
1,30,Medium,Critical,WLAN,33.66467503060986,12.471440906740503,0.3125941753387451,0.09486007690429688,0.050007800000000005,0.006000562504631659,0.15086843940892852,0
1,30,Critical,Idle,LAN,6.788097879234273,63.186674455772234,0.3189074993133545,0.09541893005371094,0.0100039,0.009821275370181947,0.11524410542389288,0
1,30,Critical,Idle,WLAN,12.972808081488594,58.66792388293973,0.31347155570983887,0.09419441223144531,0.050007800000000005,0.01243057999549849,0.1566327922269438,0
1,30,Critical,Medium,LAN,12.683632654432772,21.918235779614875,0.3186771869659424,0.09242773056030273,0.0100039,0.006176053939760489,0.10860768450006322,0
1,30,Critical,Medium,WLAN,17.422132533227376,31.01851954110232,0.31198668479919434,0.09369897842407227,0.050007800000000005,0.01004231140491384,0.1537490898289861,0
1,30,Critical,Critical,LAN,2.754524171991719,10.114991452046313,0.31920671463012695,0.09480667114257812,0.0100039,0.019605694816551025,0.12441626595912915,0
1,30,Critical,Critical,WLAN,16.45735441036129,13.912029076522286,0.3136484622955322,0.0921173095703125,0.050007600000000006,0.005103964611800857,0.14722887418211336,0
1,50,Idle,Idle,LAN,79.54216073047355,62.36992556742148,0.49010586738586426,0.11079573631286621,0.0100039,0.019267461452415226,0.14006709776528142,0
1,50,Idle,Idle,WLAN,64.1421851645759,55.505460464175535,0.48442673683166504,0.2750885486602783,0.050007600000000006,0.008075697187507164,0.3331718458477855,0
1,50,Idle,Medium,LAN,79.41464714437527,38.165997321510574,0.4834921360015869,0.11062240600585938,0.0100039,0.011959272907087495,0.13258557891294687,0
1,50,Idle,Medium,WLAN,72.77587308695789,45.54656634339396,0.4879114627838135,0.11183404922485352,0.050007800000000005,0.0183951931598183,0.1802370423846718,0
1,50,Idle,Critical,LAN,67.53343634308528,6.403561553464037,0.4862205982208252,0.11566567420959473,0.0100039,0.00677746831621741,0.13244704252581216,0
1,50,Idle,Critical,WLAN,78.38391814941257,9.647985961842874,0.4855344295501709,0.11100602149963379,0.050007800000000005,0.01675117254602986,0.17776499404566365,0
1,50,Medium,Idle,LAN,40.3360201002489,77.83708982602495,0.4820108413696289,0.11169552803039551,0.0100039,0.014210137174540425,0.13590956520493594,0
1,50,Medium,Idle,WLAN,21.701200148490628,74.06851705814051,0.4897594451904297,0.11188507080078125,0.050007800000000005,0.01974338845478607,0.1816362592555673,0
1,50,Medium,Medium,LAN,27.559797964646965,41.29825677919381,0.48456263542175293,0.11604976654052734,0.0100039,0.00854758398995524,0.1346012505304826,0
1,50,Medium,Medium,WLAN,39.86253497490657,30.235498146324062,0.4865994453430176,0.11162734031677246,0.050007800000000005,0.01146573863527137,0.17310087895204382,0
1,50,Medium,Critical,LAN,22.520834697244595,13.650053771860255,0.49141359329223633,0.11135125160217285,0.0100039,0.010656493739454237,0.13201164534162707,0
1,50,Medium,Critical,WLAN,35.730351691527645,3.123185277510905,0.48613953590393066,0.11556792259216309,0.050007800000000005,0.01181877118111605,0.17739449377327912,0
1,50,Critical,Idle,LAN,15.961007158995745,65.40107579450324,0.48450732231140137,0.10972929000854492,0.0100039,0.015477845165513843,0.13521103517405875,0
1,50,Critical,Idle,WLAN,1.0940103395432743,72.73700038359613,0.48368144035339355,0.11148786544799805,0.050007800000000005,0.006624569636136655,0.1681202350841347,0
1,50,Critical,Medium,LAN,15.956293902957604,25.544120824679332,0.4893159866333008,0.11129951477050781,0.0100039,0.018490024880810432,0.13979343965131824,0
1,50,Critical,Medium,WLAN,1.687119273849147,34.77411933992428,0.48443078994750977,0.11685824394226074,0.050007800000000005,0.011845801666073836,0.17871184560833456,0
1,50,Critical,Critical,LAN,5.275568584917347,10.943338891157424,0.48549842834472656,0.11205530166625977,0.0100039,0.016335792701977634,0.1383949943682374,0
1,50,Critical,Critical,WLAN,12.913190104036811,10.252918676542091,0.49203991889953613,0.11188745498657227,0.050007800000000005,0.005819320408809129,0.1677145753953814,0
1,100,Idle,Idle,LAN,69.00296240657244,55.86860128912974,0.9292604923248291,0.15550947189331055,0.0100039,0.011410268848530171,0.17692364074184072,0
1,100,Idle,Idle,WLAN,55.04871577268601,75.5943240253803,0.9305315017700195,0.15760564804077148,0.050007800000000005,0.015233822482294986,0.22284727052306647,0
1,100,Idle,Medium,LAN,52.54338398298036,41.23844466570968,0.9216973781585693,0.16109752655029297,0.0100039,0.005403884499548389,0.17650531104984138,0
1,100,Idle,Medium,WLAN,76.13849877653143,33.6050499953871,0.9301862716674805,0.15480303764343262,0.050007800000000005,0.006965213088379548,0.21177605073181216,0
1,100,Idle,Critical,LAN,68.69423520754219,5.142313001685062,0.9267878532409668,0.15687084197998047,0.0100039,0.018940713276526643,0.1858154552565071,0
1,100,Idle,Critical,WLAN,59.74423700636412,2.4325633141915826,0.921607494354248,0.15738368034362793,0.050007800000000005,0.008174796980630415,0.21556627732425834,0
1,100,Medium,Idle,LAN,28.56624738538376,66.81812626132411,0.9253861904144287,0.1535203456878662,0.0100038,0.019015796981962537,0.18253994266982876,0
1,100,Medium,Idle,WLAN,46.73546843115438,65.54108114299056,0.9173440933227539,0.15568971633911133,0.050007800000000005,0.014088185057256345,0.21978570139636766,0
1,100,Medium,Medium,LAN,42.95300448707997,40.689959866246326,0.9158492088317871,0.3205540180206299,0.0100038,0.01709433132846432,0.3476521493490942,0
1,100,Medium,Medium,WLAN,23.515869727745354,24.25327411665473,0.9287416934967041,0.15362048149108887,0.050007800000000005,0.018758391821877482,0.22238667331296635,0
1,100,Medium,Critical,LAN,33.654111511634554,10.031344188868466,0.9318802356719971,0.1559593677520752,0.0100038,0.012892368519690372,0.17885553627176556,0
1,100,Medium,Critical,WLAN,41.3525740214755,13.9960909771177,0.9273471832275391,0.15837574005126953,0.050007800000000005,0.015585451593132495,0.223968991644402,0
1,100,Critical,Idle,LAN,19.36164215313722,56.61679378283357,0.9255373477935791,0.15357732772827148,0.0100039,0.010781045087795125,0.17436227281606662,0
1,100,Critical,Idle,WLAN,3.184239558044162,71.72475871771071,0.9301736354827881,0.1564943790435791,0.050007600000000006,0.009660378078010184,0.2161623571215893,0
1,100,Critical,Medium,LAN,9.431509946622374,25.009027688725794,0.9260127544403076,0.15958070755004883,0.0100039,0.013470956087802865,0.1830555636378517,0
1,100,Critical,Medium,WLAN,3.288544830270197,31.180439437539622,0.9305760860443115,0.15327882766723633,0.050007800000000005,0.009601981488417852,0.21288860915565416,0
1,100,Critical,Critical,LAN,10.332456850362508,5.486398057535331,0.9330606460571289,0.15627121925354004,0.0100039,0.01313410262747846,0.17940922188101852,0
1,100,Critical,Critical,WLAN,2.8015780655139033,19.435808085347922,0.9289188385009766,0.1578073501586914,0.050007600000000006,0.015520734246115265,0.2233356844048067,0
1,250,Idle,Idle,LAN,57.583053287181514,72.9722454562961,2.29289174079895,0.2869405746459961,0.0100038,0.018042026728209266,0.31498640137420536,0
1,250,Idle,Idle,WLAN,76.86155475386275,52.57335400582851,2.292236089706421,0.2882058620452881,0.050007600000000006,0.014247685802875228,0.3524611478481633,0
1,250,Idle,Medium,LAN,57.38307391428565,43.92276712519191,2.288849115371704,0.4668240547180176,0.0100038,0.015240790738138353,0.4920686454561559,0
1,250,Idle,Medium,WLAN,78.06779067333919,32.34194610448975,2.294245719909668,0.2930605411529541,0.050007600000000006,0.015177125197936292,0.3582452663508904,0
1,250,Idle,Critical,LAN,53.921111917507204,17.44204401772577,2.297804594039917,0.29361963272094727,0.0100039,0.008289215585650394,0.31191274830659765,0
1,250,Idle,Critical,WLAN,70.93002691477005,19.924751066875416,2.2960991859436035,0.2915666103363037,0.050007600000000006,0.010719380329068547,0.35229359066537225,0
1,250,Medium,Idle,LAN,38.1223266579578,55.10246793325186,2.305478572845459,0.28412437438964844,0.0100039,0.008519958063847184,0.30264823245349565,0
1,250,Medium,Idle,WLAN,39.735591955629644,79.50280962078642,2.299934148788452,0.28565454483032227,0.050007800000000005,0.01349394595934578,0.34915629078966803,0
1,250,Medium,Medium,LAN,30.07789621711059,40.82597974875607,2.3002407550811768,0.28391480445861816,0.0100039,0.014534551981709748,0.30845325644032795,0
